16,24,13,16,11,11,12,549,12,14,8,21,7,23,19,9,8,14,7,14,10,15,9,7,6
3,6,2,4,4,2,2,155,9,4,2,3,5,17,15,4,2,5,0,6,2,6,5,3,3
16,24,13,16,11,11,12,549,12,14,8,21,7,23,19,9,8,14,7,14,10,15,9,7,6
5,25,4,15,3,3,3,403,11,3,7,12,3,14,10,3,3,13,10,9,11,4,7,6,0
16,24,13,16,11,11,12,546,12,14,8,21,7,23,19,9,8,14,7,14,10,15,9,7,6
10,20,9,14,9,8,8,470,7,8,7,16,11,18,12,15,11,13,5,6,13,12,8,8,13
16,18,13,16,11,11,12,527,3,5,5,4,5,9,5,9,8,6,7,5,6,6,6,4,0
0,0,0,2,0,0,2,57,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
1,0,1,1,0,0,0,48,5,0,0,0,0,6,0,0,0,0,0,0,0,5,0,3,0
2,0,2,2,0,0,2,46,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,0,1,3,0,2,0,66,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
0,0,1,3,0,2,0,90,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
0,0,1,3,0,0,0,82,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,4,42,23,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,0
19,0,0,0,0,0,4,42,23,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,0
19,0,0,0,0,0,4,42,23,0,0,0,0,0,0,0,0,0,0,0,0,13,0,23,0
19,0,0,0,0,0,4,42,18,0,0,0,0,0,0,0,0,0,0,0,0,12,0,22,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,2,0,1,2,69,12,0,0,0,,0,1,0,0,0,0,1,0,7,0,11,0
9,0,1,1,0,1,2,63,11,0,0,0,0,0,3,0,0,0,0,0,0,6,0,12,0
19,0,1,3,0,2,4,132,23,0,0,0,0,0,4,0,0,0,0,1,0,13,0,23,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
